,stop_id,stop_sequence,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0,401732,1,E 126 ST/2 AV,,  40.803230, -73.932451,,,0,
1,401738,2,2 AV/E 125 ST,,  40.802473, -73.933855,,,0,
2,401739,3,2 AV/E 122 ST,,  40.800564, -73.935233,,,0,
3,401740,4,2 AV/E 119 ST,,  40.798669, -73.936610,,,0,
4,401741,5,2 AV/E 116 ST,,  40.796723, -73.938040,,,0,
5,401742,6,2 AV/E 113 ST,,  40.794823, -73.939429,,,0,
6,803228,7,2 AV/E 111 ST,,  40.793625, -73.940328,,,0,
7,401744,8,2 AV/E 108 ST,,  40.791673, -73.941736,,,0,
8,401745,9,2 AV/E 106 ST,,  40.790331, -73.942715,,,0,
9,404091,10,2 AV/E 103 ST,,  40.788563, -73.944015,,,0,
10,401747,11,2 AV/E 101 ST,,  40.787352, -73.944893,,,0,
11,401748,12,2 AV/E 97 ST,,  40.785065, -73.946555,,,0,
12,803182,13,2 AV/E 96 ST,,  40.784062, -73.947274,,,0,
13,403342,14,2 AV/E 94 ST,,  40.782675, -73.948302,,,0,
14,405233,15,2 AV/E 92 ST,,  40.781510, -73.949159,,,0,
15,405307,16,2 AV/E 89 ST,,  40.779657, -73.950523,,,0,
16,401753,17,2 AV/E 87 ST,,  40.778415, -73.951437,,,0,
17,401754,18,2 AV/E 84 ST,,  40.776302, -73.952953,,,0,
18,401755,19,2 AV/E 82 ST,,  40.775053, -73.953870,,,0,
19,401756,20,2 AV/E 78 ST,,  40.772922, -73.955434,,,0,
20,401758,21,2 AV/E 75 ST,,  40.770821, -73.956950,,,0,
21,401759,22,2 AV/E 72 ST,,  40.768727, -73.958485,,,0,
22,401760,23,2 AV/E 70 ST,,  40.767330, -73.959501,,,0,
23,401761,24,2 AV/E 68 ST,,  40.765990, -73.960476,,,0,
24,401762,25,2 AV/E 66 ST,,  40.764664, -73.961439,,,0,
25,401763,26,2 AV/E 64 ST,,  40.763471, -73.962314,,,0,
26,401764,27,2 AV/E 61 ST,,  40.761523, -73.963754,,,0,
27,401765,28,2 AV/E 57 ST,,  40.758987, -73.965601,,,0,
28,403887,29,2 AV/E 54 ST,,  40.757149, -73.966937,,,0,
29,401768,30,2 AV/E 50 ST,,  40.754623, -73.968787,,,0,
30,401769,31,2 AV/E 46 ST,,  40.752481, -73.970371,,,0,
31,401771,32,2 AV/E 42 ST,,  40.749502, -73.972517,,,0,
32,401772,33,2 AV/E 39 ST,,  40.747638, -73.973880,,,0,
33,404909,34,2 AV/E 36 ST,,  40.746181, -73.974949,,,0,
34,401774,35,2 AV/E 34 ST,,  40.744490, -73.976189,,,0,
35,401775,36,2 AV/E 31 ST,,  40.742638, -73.977523,,,0,
36,405336,37,2 AV/E 28 ST,,  40.741114, -73.978641,,,0,
37,401778,38,2 AV/E 25 ST,,  40.738933, -73.980226,,,0,
38,401779,39,2 AV/E 23 ST,,  40.737516, -73.981202,,,0,
39,401780,40,2 AV/E 20 ST,,  40.735746, -73.982489,,,0,
40,401781,41,2 AV/E 17 ST,,  40.733996, -73.983769,,,0,
41,401782,42,2 AV/E 14 ST,,  40.732494, -73.984903,,,0,
42,404105,43,2 AV/E 12 ST,,  40.730796, -73.986156,,,0,
43,401784,44,2 AV/E 9 ST,,  40.728891, -73.987523,,,0,
44,401785,45,2 AV/E 6 ST,,  40.727161, -73.988785,,,0,
45,401786,46,2 AV/E 3 ST,,  40.725343, -73.990108,,,0,
46,401787,47,E HOUSTON ST/FORSYTH ST,,  40.723329, -73.990427,,,0,
47,403849,48,ALLEN ST/E HOUSTON ST,,  40.722516, -73.988990,,,0,
48,403647,49,ALLEN ST/DELANCEY ST,,  40.719411, -73.990466,,,0,
49,405373,50,ALLEN ST/HESTER ST,,  40.716371, -73.992021,,,0,
50,401793,51,ALLEN ST/CANAL ST,,  40.714855, -73.992805,,,0,
51,404844,52,PIKE ST/MADISON ST,,  40.712625, -73.992622,,,0,
52,402111,53,MADISON ST/MARKET ST,,  40.712325, -73.994744,,,0,
53,402112,54,MADISON ST/CATHERINE ST,,  40.712064, -73.997462,,,0,
54,903054,55,MADISON ST/ST JAMES PL,,  40.711883, -73.999430,,,0,
55,404327,56,PEARL ST / PEARL ST,,  40.710832, -74.000822,,,0,
56,401797,57,PEARL ST/FRANKFORT ST,,  40.709399, -74.001915,,,0,
57,403590,58,PEARL ST/FULTON ST,,  40.707631, -74.004000,,,0,
58,403831,59,WATER ST/JOHN ST,,  40.706813, -74.005230,,,0,
59,405337,60,WATER ST/GOUVERNEUR LA,,  40.704661, -74.008294,,,0,
60,401802,61,WATER ST/HANOVER SQ,,  40.703882, -74.009427,,,0,
61,405084,62,BROAD ST/WATER ST,,  40.702539, -74.011487,,,0,
62,803002,63,SOUTH ST/WHITEHALL ST,,  40.701609, -74.012226,,,0,
