,bus_lon,bus_lat,stop,status
0,-73.933082,40.803419,2 AV/E 125 ST,approaching
1,-73.94063,40.793085,2 AV/E 108 ST,< 1 stop away
2,-73.987731,40.724258,1 AV / 4 ST,< 1 stop away
3,-73.955472,40.77275,2 AV/E 75 ST,< 1 stop away
4,-73.974048,40.747317,2 AV/E 36 ST,approaching
5,-73.961079,40.765064,2 AV/E 66 ST,approaching
6,-73.992787,40.714775,PIKE ST/MADISON ST,< 1 stop away
7,-73.972341,40.749649,2 AV/E 42 ST,at stop
8,-74.012722,40.701964,WATER ST/BROAD ST,< 1 stop away
9,-73.935401,40.800233,2 AV/E 119 ST,< 1 stop away
