,stop_id,stop_sequence
136328,553292,1
136329,551042,2
136330,551043,3
136331,551044,4
136332,551045,5
136333,551036,6
136334,551046,7
136335,551033,8
136336,551031,9
136337,551047,10
136338,551028,11
136339,551026,12
136340,551024,13
136341,551048,14
136342,551021,15
136343,551019,16
136344,551008,17
136345,553130,18
136346,553177,19
136347,551015,20
136348,551013,21
136349,553164,22
136350,502254,23
136351,551050,24
136352,501370,25
136353,501371,26
136354,501372,27
136355,501373,28
136356,501374,29
136357,504081,30
136358,501377,31
136359,501378,32
136360,501379,33
136361,501380,34
136362,501382,35
136363,502514,36
136364,504483,37
136365,551002,38
136366,551000,39
136367,551053,40
136368,551054,41
136369,550996,42
136370,551055,43
136371,551056,44
136372,551057,45
136373,551058,46
136374,550989,47
136375,553058,48
136376,550985,49
136377,551059,50
136378,551060,51
136379,551061,52
136380,550978,53
136381,550973,54
136382,553127,55
136383,553295,56
136384,982095,57
